Pruning_Method,Venue,Year,Pruning_Location,Pruned_Target,VLM,edit,Token_Retention,GQA,MMB,MM-CN,MME,POPE,SQA,VQA_v2,VQA_Text,VizWiz,FLOPs,Inference (ms),GitHub
SparseVLM,ICML'25,2025,llm decoder,visual token,LLaVA-1.5-7B,0,144,55.11,59.54,51.03,1351.65,77.57,55.99,72.76,55.99,51.46,,,
FasterVLM,ICML'25,2025,vision encoder,visual token,LLaVA-1.5-7B,0,144,58.34,62.54,57.13,1433.76,83.46,57.07,76.19,57.07,51.97,,,
FastV,ECCV'24,2024,llm decoder,visual token,LLaVA-1.5-7B,0,58,51.2,59.97,51.72,1210.36,57.3,54.75,65.38,54.75,51.84,,,
FitPrune,AAAI’2025,2025,llm decoder,visual token,LLaVA-1.5-7B,0,58,49.96,56.27,45.53,1147.46,53.81,50.35,62.76,50.35,50.85,,,
SparseVLM,ICML'25,2025,llm decoder,visual token,LLaVA-1.5-7B,0,58,48.86,49.05,35.4,1030.61,65.82,48.99,62.9,48.99,49.36,,,
FasterVLM,ICML'25,2025,vision encoder,visual token,LLaVA-1.5-7B,0,58,54.91,60.57,54.9,1348.63,75.85,55.28,71.92,55.28,53.01,,,
FastV,ECCV'24,2024,llm decoder,visual token,LLaVA-1.5-7B,0,29,46.03,50.17,42.18,971.56,35.47,51.56,55.92,51.56,49.1,,,
FitPrune,AAAI’2025,2025,llm decoder,visual token,LLaVA-1.5-7B,0,29,43.6,39.69,29.98,855.21,31.17,46.75,52.39,46.75,48.61,,,
FasterVLM,ICML'25,2025,vision encoder,visual token,LLaVA-1.5-7B,0,29,51.51,58.51,51.98,1254.8,67.24,53.09,66.75,53.09,52.67,,,
LLaVA-Mini,ICLR’25,2025,vision encoder& prefusion,visual token,LLaVA-1.5-7B,0,1,60.9,65.6,-,1466,84.4,70.5,77.6,57,56.2,,,
Vanilla,CVPR'24,2024,none,none,LLaVA-1.5-13B,0,576,63.25,68.47,63.49,1531.19,85.99,72.78,80,61.19,53.61,,,
FastV,ECCV'24,2024,llm decoder,visual token,LLaVA-1.5-13B,0,432,63.11,68.38,63.4,1543.97,85.86,72.78,79.96,61.29,53.79,,,
SparseVLM,ICML'25,2025,llm decoder,visual token,LLaVA-1.5-13B,0,432,61.29,68.3,61.77,1481.4,72.45,73.77,79.25,60.46,53.6,,,
FasterVLM,ICML'25,2025,vision encoder,visual token,LLaVA-1.5-13B,0,432,61.24,67.61,63.4,1487.34,86.73,72.98,79.61,60.35,53.16,,,
FastV,ECCV'24,2024,llm decoder,visual token,LLaVA-1.5-13B,0,288,62.59,68.47,63.23,1545.14,85.15,73.13,79.54,60.86,54.34,,,
SparseVLM,ICML'25,2025,llm decoder,visual token,LLaVA-1.5-13B,0,288,59.9,66.67,61.94,1497.39,71.3,74.02,78.48,59.48,53.08,,,
FasterVLM,ICML'25,2025,vision encoder,visual token,LLaVA-1.5-13B,0,288,61.01,67.7,62.8,1530.41,86.05,73.62,79.03,59.99,52.65,,,
FastV,ECCV'24,2024,llm decoder,visual token,LLaVA-1.5-13B,0,144,59.87,67.27,62.63,1493.51,79.43,74.02,77.24,60.07,54.82,,,
SparseVLM,ICML'25,2025,llm decoder,visual token,LLaVA-1.5-13B,0,144,57.97,64.52,59.11,1499.49,68.61,73.67,76.06,57.94,53.13,,,
FasterVLM,ICML'25,2025,vision encoder,visual token,LLaVA-1.5-13B,0,144,58.74,67.1,62.54,1467,83.1,73.48,77.36,58.99,52.74,,,
FastV,ECCV'24,2024,llm decoder,visual token,LLaVA-1.5-13B,0,58,54.92,63.83,59.71,1359.69,67.26,72.43,70.27,55.64,54.78,,,
SparseVLM,ICML'25,2025,llm decoder,visual token,LLaVA-1.5-13B,0,58,54.43,58.16,54.3,1285.26,62.63,70.35,68.27,52.56,50.45,,,
FasterVLM,ICML'25,2025,vision encoder,visual token,LLaVA-1.5-13B,0,58,55.98,65.21,61.08,1370.77,74.71,73.72,73.08,57.35,54,,,
FastV,ECCV'24,2024,llm decoder,visual token,LLaVA-1.5-13B,0,29,50.34,56.44,51.29,1165.7,49.83,73.18,62.25,52.08,52.96,,,
FasterVLM,ICML'25,2025,vision encoder,visual token,LLaVA-1.5-13B,0,29,52.62,62.11,56.87,1267.09,65.9,72.83,67.85,54.82,53.11,,,
Vanilla,CVPR'24,2024,none,none,LLaVA-1.5-13B,0,0,38.4,22.77,18.13,622.91,1.45,66.63,41.4,43.51,66.63,,,
Vanilla,CVPR'24,2024,none,none,LLaVA-NeXT-7B,0,2880,62.93,67.7,58.85,1513.78,86.32,69.66,81.21,59.59,55.21,,,
FastV,ECCV'24,2024,llm decoder,visual token,LLaVA-NeXT-7B,0,2160,62.5,67.61,59.02,1506.28,86.27,69.31,81.12,59.69,55.05,,,
SparseVLM,ICML'25,2025,llm decoder,visual token,LLaVA-NeXT-7B,0,2160,62.55,66.07,58.59,1507.75,73.15,68.47,81.14,60.26,55.2,,,
FasterVLM,ICML'25,2025,vision encoder,visual token,LLaVA-NeXT-7B,0,2160,62.81,67.35,58.33,1492.2,86.26,70.7,81.18,59.65,56.12,,,
FastV,ECCV'24,2024,llm decoder,visual token,LLaVA-NeXT-7B,0,1440,61.76,67.35,58.51,1490.34,85.46,69.06,80.71,59.55,54.89,,,
SparseVLM,ICML'25,2025,llm decoder,visual token,LLaVA-NeXT-7B,0,1440,62.04,65.72,58.85,1484.92,73.42,68.07,80.92,60,55.71,,,
FasterVLM,ICML'25,2025,vision encoder,visual token,LLaVA-NeXT-7B,0,1440,62.66,67.87,58.85,1521.87,86.66,69.41,80.72,59.72,55.82,,,
FastV,ECCV'24,2024,llm decoder,visual token,LLaVA-NeXT-7B,0,720,60.38,65.64,57.04,1477.31,83.09,69.81,78.9,58.39,54.22,,,
SparseVLM,ICML'25,2025,llm decoder,visual token,LLaVA-NeXT-7B,0,720,60.88,63.83,57.04,1446.1,70.99,67.48,78.86,58.08,55.55,,,
FasterVLM,ICML'25,2025,vision encoder,visual token,LLaVA-NeXT-7B,0,720,61.31,67.53,59.19,1480.68,85.5,68.82,79.25,59.33,56.24,,,
FastV,ECCV'24,2024,llm decoder,visual token,LLaVA-NeXT-7B,0,288,55.86,61.6,51.89,1282.86,71.66,69.26,71.94,55.69,53.07,,,
